Ticker,Name,Industry,Dividend Yield,Dividend Safety
MO,Altria,Tobacco,7.93%,Borderline Safe
UVV,Universal,Tobacco,6.00%,Borderline Safe
MMM,3M,Industrial Conglomerates,5.25%,Safe
LEG,Leggett & Platt,Home Furnishings,5.12%,Safe
CDUAF,Canadian Utilities,Multi-Utilities,4.98%,Safe
NWN,Northwest Natural,Gas Utilities,4.03%,Safe
BKH,Black Hills,Multi-Utilities,3.94%,Safe
FRT,Federal Realty,Retail REITs,3.92%,Safe
ABBV,AbbVie,Biotechnology,3.88%,Safe
KMB,Kimberly-Clark,Household Products,3.67%,Very Safe
SWK,Stanley Black & Decker,Industrial Machinery,3.59%,Safe
NFG,National Fuel Gas,Gas Utilities,3.25%,Very Safe
KO,Coca-Cola,Soft Drinks,2.95%,Safe
PEP,PepsiCo,Soft Drinks,2.88%,Very Safe
JNJ,Johnson & Johnson,Pharmaceuticals,2.79%,Very Safe
PG,Procter & Gamble,Household Products,2.62%,Very Safe
CL,Colgate-Palmolive,Household Products,2.57%,Very Safe
GRC,Gorman-Rupp Company,Industrial Machinery,2.53%,Very Safe
TGT,Target,General Merchandise Stores,2.52%,Very Safe
SYY,Sysco,Food Distributors,2.52%,Safe
HRL,Hormel Foods,Packaged Foods and Meats,2.44%,Very Safe
EMR,Emerson Electric,Electrical Components and Equipment,2.42%,Safe
CINF,Cincinnati Financial,Property and Casualty Insurance,2.39%,Safe
ITW,Illinois Tool Works,Industrial Machinery,2.20%,Very Safe
GPC,Genuine Parts Company,Distributors,2.03%,Safe
SJW,SJW Group,Water Utilities,1.98%,Very Safe
LOW,Lowe's,Home Improvement Retail,1.96%,Very Safe
PPG,PPG Industries,Specialty Chemicals,1.91%,Very Safe
ABT,Abbott Laboratories,Health Care Equipment,1.90%,Safe
ABM,ABM Industries Incorporated,Environmental and Facilities Services,1.81%,Safe
LANC,Lancaster,Packaged Foods and Meats,1.76%,Very Safe
CWT,California Water Service Group,Water Utilities,1.73%,Very Safe
AWR,American States Water,Water Utilities,1.70%,Very Safe
FMCB,Farmers & Merchants Bancorp,Regional Banks,1.63%,Very Safe
CBSH,Commerce Bancshares,Regional Banks,1.57%,Very Safe
TNC,Tennant Company,Industrial Machinery,1.56%,Safe
PH,Parker-Hannifin,Industrial Machinery,1.51%,Very Safe
BDX,"Becton, Dickinson and Company",Health Care Equipment,1.50%,Very Safe
MSEX,Middlesex Water Company,Water Utilities,1.46%,Very Safe
MSA,MSA Safety Incorporated,Office Services and Supplies,1.35%,Very Safe
SCL,Stepan Company,Specialty Chemicals,1.33%,Very Safe
DOV,Dover,Industrial Machinery,1.30%,Very Safe
NDSN,Nordson Corporation,Industrial Machinery,1.07%,Very Safe
FUL,H.B. Fuller,Specialty Chemicals,1.07%,Safe
GWW,W.W. Grainger,Trading Companies and Distributors,1.03%,Very Safe
TR,Tootsie Roll,Packaged Foods and Meats,0.81%,Very Safe
